,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
47594,Corinth,NY,Light,2014-01-16,18:40,Quinta-feira,16,1
47595,Cary,NC,Triangle,2014-01-16,18:30,Quinta-feira,16,1
47596,Birmingham,AL,Formation,2014-01-16,18:27,Quinta-feira,16,1
47598,Canon City,CO,Sphere,2014-01-16,18:00,Quinta-feira,16,1
47599,North Myrtle Beach,SC,Fireball,2014-01-16,18:00,Quinta-feira,16,1
47600,Belgrade,MT,Unknown,2014-01-16,17:30,Quinta-feira,16,1
47601,"UNKNOWN FLYING @ 39,000&quot;",GA,Other,2014-01-16,11:00,Quinta-feira,16,1
47603,Shoreline,WA,Other,2014-01-16,01:00,Quinta-feira,16,1
47604,Stewartstown,PA,Light,2014-01-15,22:30,Quarta-feira,15,1
47605,Deleon Springs,FL,Circle,2014-01-15,21:30,Quarta-feira,15,1
47606,North Sutton,NH,Unknown,2014-01-15,21:10,Quarta-feira,15,1
47607,Peachtree City,GA,Sphere,2014-01-15,21:00,Quarta-feira,15,1
47608,Peachtree city,GA,Sphere,2014-01-15,21:00,Quarta-feira,15,1
47609,Winder,GA,Triangle,2014-01-15,21:00,Quarta-feira,15,1
47610,Crystal City,TX,Flash,2014-01-15,20:45,Quarta-feira,15,1
47611,Covington,GA,Light,2014-01-15,20:30,Quarta-feira,15,1
47612,Dacula/Auburn,GA,Unknown,2014-01-15,20:30,Quarta-feira,15,1
47613,Loganville,GA,Light,2014-01-15,20:15,Quarta-feira,15,1
47614,Campbell,CA,Fireball,2014-01-15,20:10,Quarta-feira,15,1
47615,Lilburn,GA,Changing,2014-01-15,20:00,Quarta-feira,15,1
47616,Conyers,GA,Formation,2014-01-15,20:00,Quarta-feira,15,1
47617,Williamston,SC,Formation,2014-01-15,20:00,Quarta-feira,15,1
47618,St. Stephen,SC,Sphere,2014-01-15,19:45,Quarta-feira,15,1
47619,Birmingham,AL,Formation,2014-01-15,19:30,Quarta-feira,15,1
47620,Kihei,HI,Circle,2014-01-15,19:30,Quarta-feira,15,1
47621,Garner,NC,Disk,2014-01-15,19:00,Quarta-feira,15,1
47622,Mountain Brook,AL,Light,2014-01-15,17:45,Quarta-feira,15,1
47623,Dana Point,CA,Sphere,2014-01-15,14:30,Quarta-feira,15,1
47624,Spearsville,LA,Triangle,2014-01-15,14:30,Quarta-feira,15,1
47625,Pleasant Grove,AR,Disk,2014-01-15,13:00,Quarta-feira,15,1
47627,El Dorado Hills,CA,Light,2014-01-15,05:30,Quarta-feira,15,1
47628,Paia,HI,Sphere,2014-01-15,03:30,Quarta-feira,15,1
47629,Miami,FL,Flash,2014-01-15,02:00,Quarta-feira,15,1
47630,Crystal Spring (near),TX,Oval,2014-01-15,00:00,Quarta-feira,15,1
47631,Kealia,HI,Fireball,2014-01-15,00:00,Quarta-feira,15,1
47633,Kimberly,ID,Fireball,2014-01-14,22:40,Terça-feira,14,1
47634,Seattle (Shoreline district),WA,Light,2014-01-14,21:27,Terça-feira,14,1
47636,Waimanalo,HI,Fireball,2014-01-14,20:50,Terça-feira,14,1
47637,Roanoke,VA,Light,2014-01-14,19:35,Terça-feira,14,1
47638,Eureka,KS,Other,2014-01-14,18:45,Terça-feira,14,1
47639,Fredonia,KS,Light,2014-01-14,18:45,Terça-feira,14,1
47640,Surfside Beach,SC,Unknown,2014-01-14,18:30,Terça-feira,14,1
47643,Yates Center,KS,Light,2014-01-14,06:30,Terça-feira,14,1
47644,Palestine,TX,Triangle,2014-01-14,06:00,Terça-feira,14,1
47645,Angleton,TX,Flash,2014-01-14,05:15,Terça-feira,14,1
47646,Flossmoor,IL,Triangle,2014-01-14,02:00,Terça-feira,14,1
47647,Myrtle Beach,SC,Circle,2014-01-14,00:35,Terça-feira,14,1
47649,Holts Summit,MO,Changing,2014-01-13,22:22,Segunda-feira,13,1
47650,Clarksburg,MD,Cigar,2014-01-13,21:00,Segunda-feira,13,1
47652,Rushville,IN,Triangle,2014-01-13,20:30,Segunda-feira,13,1
47653,Rushville,IN,Triangle,2014-01-13,20:30,Segunda-feira,13,1
47654,Tinley Park,IL,Light,2014-01-13,18:50,Segunda-feira,13,1
47656,Boone,IA,Triangle,2014-01-13,18:30,Segunda-feira,13,1
47657,Sioux City,IA,Circle,2014-01-13,18:00,Segunda-feira,13,1
47659,Henderson/Thronton/Brighton,CO,Fireball,2014-01-13,18:00,Segunda-feira,13,1
47660,Lorton,VA,Circle,2014-01-13,17:50,Segunda-feira,13,1
47661,Carson,CA,Sphere,2014-01-13,13:45,Segunda-feira,13,1
47662,San Antonio,TX,Fireball,2014-01-13,06:47,Segunda-feira,13,1
47663,Hugoton,KS,Flash,2014-01-13,06:00,Segunda-feira,13,1
47664,Southwick,MA,Light,2014-01-13,03:15,Segunda-feira,13,1
47665,Agawam,MA,Light,2014-01-13,03:10,Segunda-feira,13,1
47666,Watchung (Watchung Mountain; viewed from),NJ,Light,2014-01-13,01:00,Segunda-feira,13,1
47667,New Sharon,ME,Oval,2014-01-12,23:31,Domingo,12,1
47668,Haledon,NJ,Circle,2014-01-12,23:30,Domingo,12,1
47671,Dallas,GA,Oval,2014-01-12,22:35,Domingo,12,1
47673,Louisville,IN,Sphere,2014-01-12,22:00,Domingo,12,1
47674,Inchelium,WA,Triangle,2014-01-12,21:05,Domingo,12,1
47675,Cleveland,OH,Light,2014-01-12,20:15,Domingo,12,1
47676,Hartwell,GA,Triangle,2014-01-12,20:15,Domingo,12,1
47677,New Sharon,ME,Circle,2014-01-12,19:45,Domingo,12,1
47678,Rochester,NY,Light,2014-01-12,19:30,Domingo,12,1
47679,Easton,PA,Light,2014-01-12,19:00,Domingo,12,1
47680,Clawson,MI,Rectangle,2014-01-12,19:00,Domingo,12,1
47681,Palatka,FL,Fireball,2014-01-12,18:30,Domingo,12,1
47683,New Orleans,LA,Light,2014-01-12,18:00,Domingo,12,1
47685,Mukilteo/Everett,WA,Unknown,2014-01-12,17:23,Domingo,12,1
47686,Georgetown,KY,Light,2014-01-12,17:15,Domingo,12,1
47687,Ellington,CT,Fireball,2014-01-12,17:10,Domingo,12,1
47688,Inverness,MS,Cigar,2014-01-12,17:00,Domingo,12,1
47689,Great Falls,MT,Unknown,2014-01-12,17:00,Domingo,12,1
47691,Huntsville,AL,Disk,2014-01-12,13:35,Domingo,12,1
47692,Marion,SC,Disk,2014-01-12,13:35,Domingo,12,1
47693,Charlotte,NC,Cigar,2014-01-12,13:25,Domingo,12,1
47694,Fort Collins,MI,Sphere,2014-01-12,11:00,Domingo,12,1
47695,Chambersburg,PA,Cigar,2014-01-12,11:00,Domingo,12,1
47696,Northern Cambria,PA,Circle,2014-01-12,10:00,Domingo,12,1
47699,Mountlake Terrace,WA,Light,2014-01-11,00:00,Sábado,11,1
47700,Davie,FL,Fireball,2014-01-11,22:40,Sábado,11,1
47701,New York City (Queens),NY,Light,2014-01-11,22:25,Sábado,11,1
47702,Palo Alto,CA,Formation,2014-01-11,21:05,Sábado,11,1
47703,Falmouth,KY,Circle,2014-01-11,20:00,Sábado,11,1
47704,Chesapeake City,MD,Circle,2014-01-11,19:55,Sábado,11,1
47705,Sun Valley,CA,Light,2014-01-11,19:33,Sábado,11,1
47706,Pueblo,CO,Sphere,2014-01-11,19:30,Sábado,11,1
47707,Deerfield Beach,FL,Unknown,2014-01-11,19:20,Sábado,11,1
47708,Boca Raton,FL,Light,2014-01-11,19:20,Sábado,11,1
47710,Palmdale,CA,Fireball,2014-01-11,19:00,Sábado,11,1
47711,Tucson,AZ,Cigar,2014-01-11,18:00,Sábado,11,1
47712,Princeton,MN,Triangle,2014-01-11,17:15,Sábado,11,1
47713,La Junta,CO,Oval,2014-01-11,16:50,Sábado,11,1
47714,Roseville,MN,Fireball,2014-01-11,16:00,Sábado,11,1
47717,Oviedo (town in Orlando),FL,Light,2014-01-11,04:00,Sábado,11,1
47718,Bayville,NJ,Unknown,2014-01-11,03:00,Sábado,11,1
47720,Napa,CA,Circle,2014-01-10,23:50,Sexta-feira,10,1
47721,Kaneohe,HI,Fireball,2014-01-10,22:58,Sexta-feira,10,1
47723,Lowell,MI,Flash,2014-01-10,21:15,Sexta-feira,10,1
47724,Newport Beach,CA,Fireball,2014-01-10,20:50,Sexta-feira,10,1
47725,Mercey Hot Springs/Firebaugh,CA,Light,2014-01-10,20:40,Sexta-feira,10,1
47726,Meredith,NH,Fireball,2014-01-10,20:30,Sexta-feira,10,1
47728,Yuma,AZ,Unknown,2014-01-10,20:00,Sexta-feira,10,1
47729,Knoxville,TN,Light,2014-01-10,20:00,Sexta-feira,10,1
47731,Placentia,CA,Rectangle,2014-01-10,17:30,Sexta-feira,10,1
47733,Hartford,CT,Flash,2014-01-10,09:57,Sexta-feira,10,1
47734,Coal Creek,CO,Sphere,2014-01-10,06:30,Sexta-feira,10,1
47735,El Paso,TX,Circle,2014-01-10,06:15,Sexta-feira,10,1
47736,Placentia,CA,Rectangle,2014-01-10,06:00,Sexta-feira,10,1
47738,Phoenix,AZ,Sphere,2014-01-09,21:50,Quinta-feira,9,1
47741,Scottsdale,AZ,Light,2014-01-09,19:15,Quinta-feira,9,1
47743,San Pedro,CA,Sphere,2014-01-09,16:50,Quinta-feira,9,1
47744,Metairie,LA,Triangle,2014-01-09,16:07,Quinta-feira,9,1
47745,Summerville,SC,Sphere,2014-01-09,16:00,Quinta-feira,9,1
47746,New York City (Queens; Forest Hills),NY,Triangle,2014-01-09,11:45,Quinta-feira,9,1
47747,Fairborn,OH,Fireball,2014-01-09,11:20,Quinta-feira,9,1
47748,Dumont Dune National Park,CA,Other,2014-01-09,09:20,Quinta-feira,9,1
47749,Los Angeles,CA,Other,2014-01-09,08:20,Quinta-feira,9,1
47750,Tampa,FL,Unknown,2014-01-09,08:10,Quinta-feira,9,1
47751,North Miami Beach,FL,Other,2014-01-09,07:45,Quinta-feira,9,1
47752,Oregon City,OR,Circle,2014-01-09,07:25,Quinta-feira,9,1
47753,Sanford,FL,Unknown,2014-01-09,02:10,Quinta-feira,9,1
47754,Encinitas,CA,Changing,2014-01-08,23:00,Quarta-feira,8,1
47755,Alta Loma,CA,Circle,2014-01-08,21:00,Quarta-feira,8,1
47756,Kernesville,NC,Circle,2014-01-08,20:00,Quarta-feira,8,1
47757,Hailey,ID,Sphere,2014-01-08,18:20,Quarta-feira,8,1
47758,Doylestown,WI,Light,2014-01-08,18:00,Quarta-feira,8,1
47759,Clinton,NJ,Cigar,2014-01-08,18:00,Quarta-feira,8,1
47760,Madison,WI,Formation,2014-01-08,18:00,Quarta-feira,8,1
47761,Green Lake,WI,Unknown,2014-01-08,17:30,Quarta-feira,8,1
47762,Westfield,WI,Light,2014-01-08,17:30,Quarta-feira,8,1
47763,Fond du Lac,WI,Formation,2014-01-08,17:12,Quarta-feira,8,1
47764,Rome,WI,Light,2014-01-08,17:00,Quarta-feira,8,1
47765,Columbus,OH,Other,2014-01-08,15:00,Quarta-feira,8,1
47766,Pittsburgh,PA,Formation,2014-01-08,01:00,Quarta-feira,8,1
47767,Mesa,AZ,Unknown,2014-01-07,00:00,Terça-feira,7,1
47768,Hattiesburg/Columbia (between),MS,Circle,2014-01-07,22:45,Terça-feira,7,1
47769,San Rafael,CA,Formation,2014-01-07,22:41,Terça-feira,7,1
47770,Hampton,VA,Light,2014-01-07,21:58,Terça-feira,7,1
47771,San Tan Valley,AZ,Fireball,2014-01-07,21:56,Terça-feira,7,1
47772,Missoula,MT,Sphere,2014-01-07,21:40,Terça-feira,7,1
47774,San Tan Valley,AZ,Light,2014-01-07,20:00,Terça-feira,7,1
47775,San Tan Valley,AZ,Sphere,2014-01-07,19:55,Terça-feira,7,1
47776,Tucson,AZ,Unknown,2014-01-07,19:08,Terça-feira,7,1
47777,Mayville,WI,Light,2014-01-07,19:00,Terça-feira,7,1
47780,Savannah,GA,Light,2014-01-07,07:10,Terça-feira,7,1
47781,Hartford,SD,Other,2014-01-06,23:52,Segunda-feira,6,1
47783,San Francisco,CA,Changing,2014-01-06,22:30,Segunda-feira,6,1
47784,San Rafael,CA,Formation,2014-01-06,22:20,Segunda-feira,6,1
47785,San Rafael,CA,Light,2014-01-06,22:18,Segunda-feira,6,1
47786,Danville,VA,Unknown,2014-01-06,22:15,Segunda-feira,6,1
47787,Morgan Hill,CA,Light,2014-01-06,22:00,Segunda-feira,6,1
47788,Cape Coral,FL,Light,2014-01-06,20:30,Segunda-feira,6,1
47789,Georgetown,KY,Circle,2014-01-06,19:00,Segunda-feira,6,1
47790,San Diego,CA,Light,2014-01-06,19:00,Segunda-feira,6,1
47791,Lewisburg,WV,Triangle,2014-01-06,19:00,Segunda-feira,6,1
47792,Glenmoore,PA,Formation,2014-01-06,16:30,Segunda-feira,6,1
47793,Lansdale,PA,Sphere,2014-01-06,16:00,Segunda-feira,6,1
47794,Chalfont,PA,Disk,2014-01-06,15:45,Segunda-feira,6,1
47796,Morris,IL,Disk,2014-01-06,09:00,Segunda-feira,6,1
47797,Chesapeake,VA,Disk,2014-01-06,07:40,Segunda-feira,6,1
47798,Jackson,MI,Unknown,2014-01-06,03:45,Segunda-feira,6,1
47799,Evansville,IN,Other,2014-01-06,00:00,Segunda-feira,6,1
47802,Salt Lake City,UT,Light,2014-01-05,19:00,Domingo,5,1
47803,East Providence,RI,Light,2014-01-05,18:45,Domingo,5,1
47804,Corona,CA,Other,2014-01-05,16:00,Domingo,5,1
47805,Spokane,WA,Sphere,2014-01-05,12:00,Domingo,5,1
47806,Lodi,CA,Rectangle,2014-01-05,05:30,Domingo,5,1
47807,Pleasanton,CA,Oval,2014-01-05,04:57,Domingo,5,1
47808,Columbia,MO,Light,2014-01-05,03:50,Domingo,5,1
47809,Mansfield,OH,Oval,2014-01-05,02:22,Domingo,5,1
47810,Tuscaloosa,AL,Sphere,2014-01-04,23:56,Sábado,4,1
47811,Clermont,FL,Triangle,2014-01-04,23:30,Sábado,4,1
47813,Fort Myers,FL,Unknown,2014-01-04,23:00,Sábado,4,1
47815,New York City (Queens; Flushing),NY,Oval,2014-01-04,22:30,Sábado,4,1
47816,Phoenix,AZ,Other,2014-01-04,22:08,Sábado,4,1
47817,Lynn,MA,Circle,2014-01-04,21:34,Sábado,4,1
47818,Tacoma (Port of),WA,Other,2014-01-04,21:15,Sábado,4,1
47819,Portland,OR,Light,2014-01-04,21:00,Sábado,4,1
47820,Blue Hill,ME,Fireball,2014-01-04,21:00,Sábado,4,1
47821,Long Beach,CA,Light,2014-01-04,21:00,Sábado,4,1
47822,Berea,OH,Fireball,2014-01-04,20:35,Sábado,4,1
47824,Oregon City,OR,Unknown,2014-01-04,18:30,Sábado,4,1
47825,Marshall,TX,Sphere,2014-01-04,18:30,Sábado,4,1
47827,Campbell,OH,Triangle,2014-01-04,18:10,Sábado,4,1
47828,Norfolk,VA,Circle,2014-01-04,18:00,Sábado,4,1
47829,Marrero,LA,Light,2014-01-04,18:00,Sábado,4,1
47830,Crossville,TN,Light,2014-01-04,17:00,Sábado,4,1
47831,Ashburn,VA,Sphere,2014-01-04,16:35,Sábado,4,1
47832,Prineville,OR,Oval,2014-01-04,16:22,Sábado,4,1
47833,New York City (Brooklyn),NY,Light,2014-01-04,11:00,Sábado,4,1
47834,Jackson,OH,Fireball,2014-01-04,07:35,Sábado,4,1
47835,Auburn,CA,Formation,2014-01-04,07:00,Sábado,4,1
47836,Moreno Valley,CA,Fireball,2014-01-04,05:50,Sábado,4,1
47837,Kill Devil Hills,NC,Sphere,2014-01-04,05:43,Sábado,4,1
47839,Altoona,PA,Fireball,2014-01-04,01:55,Sábado,4,1
47841,Austin,TX,Triangle,2014-01-04,00:38,Sábado,4,1
47842,Marina del Rey,CA,Light,2014-01-03,00:00,Sexta-feira,3,1
47843,Simsbury,CT,Triangle,2014-01-03,23:40,Sexta-feira,3,1
47845,Jenks,OK,Circle,2014-01-03,21:23,Sexta-feira,3,1
47846,Jacksonville,FL,Triangle,2014-01-03,21:00,Sexta-feira,3,1
47848,Huntington Beach,CA,Light,2014-01-03,18:56,Sexta-feira,3,1
47850,Los Alamos,NM,Other,2014-01-03,18:15,Sexta-feira,3,1
47851,Morgan Hill,CA,Cigar,2014-01-03,13:00,Sexta-feira,3,1
47852,Port St. Lucie,FL,Unknown,2014-01-03,08:45,Sexta-feira,3,1
47853,Morton,IL,Other,2014-01-03,02:45,Sexta-feira,3,1
47855,Auburn,WA,Light,2014-01-02,00:00,Quinta-feira,2,1
47856,Rossville,IL,Light,2014-01-02,23:45,Quinta-feira,2,1
47857,Berkeley,CA,Light,2014-01-02,23:00,Quinta-feira,2,1
47858,Austin,TX,Light,2014-01-02,22:15,Quinta-feira,2,1
47859,Cape Coral,FL,Light,2014-01-02,22:00,Quinta-feira,2,1
47862,Yankton,SD,Fireball,2014-01-02,20:00,Quinta-feira,2,1
47863,Cuthbert,GA,Light,2014-01-02,20:00,Quinta-feira,2,1
47864,Des Moines,IA,Unknown,2014-01-02,19:05,Quinta-feira,2,1
47867,Tucson (north of),AZ,Circle,2014-01-02,18:30,Quinta-feira,2,1
47868,Austin,TX,Circle,2014-01-02,17:30,Quinta-feira,2,1
47869,Riverside,CA,Sphere,2014-01-02,16:45,Quinta-feira,2,1
47870,Anchorage,AK,Oval,2014-01-02,11:45,Quinta-feira,2,1
47872,Tarzana,CA,Light,2014-01-02,03:00,Quinta-feira,2,1
47873,Olympia,WA,Other,2014-01-02,00:00,Quinta-feira,2,1
47874,North Myrtle Beach,SC,Fireball,2014-01-01,23:00,Quarta-feira,1,1
47875,Tucson,AZ,Light,2014-01-01,23:00,Quarta-feira,1,1
47876,Cle Elum,WA,Other,2014-01-01,23:00,Quarta-feira,1,1
47877,Liberty Township,OH,Circle,2014-01-01,22:30,Quarta-feira,1,1
47878,Cincinnati,OH,Circle,2014-01-01,22:15,Quarta-feira,1,1
47879,Mount Ephraim,NJ,Circle,2014-01-01,22:00,Quarta-feira,1,1
47880,River Ridge,LA,Sphere,2014-01-01,22:00,Quarta-feira,1,1
47881,Spokane,WA,Light,2014-01-01,21:30,Quarta-feira,1,1
47882,Great Falls,MT,Sphere,2014-01-01,21:00,Quarta-feira,1,1
47883,Powers,OR,Unknown,2014-01-01,20:45,Quarta-feira,1,1
47884,Hickory,NC,Triangle,2014-01-01,20:30,Quarta-feira,1,1
47885,Pittsburgh,PA,Fireball,2014-01-01,20:15,Quarta-feira,1,1
47886,Louisville,KY,Sphere,2014-01-01,20:00,Quarta-feira,1,1
47888,Pittsburgh,PA,Circle,2014-01-01,19:30,Quarta-feira,1,1
47889,Brenda,AZ,Circle,2014-01-01,19:00,Quarta-feira,1,1
47890,San Diego,CA,Unknown,2014-01-01,18:46,Quarta-feira,1,1
47891,Woodridge,IL,Fireball,2014-01-01,18:30,Quarta-feira,1,1
47892,Philadelphia,PA,Light,2014-01-01,18:00,Quarta-feira,1,1
47893,Gilroy,CA,Formation,2014-01-01,17:50,Quarta-feira,1,1
47894,Mentone,CA,Formation,2014-01-01,17:47,Quarta-feira,1,1
47895,Gorham,ME,Fireball,2014-01-01,17:15,Quarta-feira,1,1
47896,Placentia,CA,Rectangle,2014-01-01,17:00,Quarta-feira,1,1
47897,New York City,NY,Other,2014-01-01,12:00,Quarta-feira,1,1
47898,La Mesa,CA,Formation,2014-01-01,03:00,Quarta-feira,1,1
47900,Lake Elsinore,CA,Fireball,2014-01-01,01:30,Quarta-feira,1,1
47901,East Ridge (Chatanooga),TN,Circle,2014-01-01,01:15,Quarta-feira,1,1
47902,American Fork,UT,Circle,2014-01-01,01:00,Quarta-feira,1,1
47904,Tucson,AZ,Light,2014-01-01,01:00,Quarta-feira,1,1
47905,Utah Valley,UT,Changing,2014-01-01,01:00,Quarta-feira,1,1
47906,Lehigh Acres,FL,Fireball,2014-01-01,01:00,Quarta-feira,1,1
47907,Fanwood,NJ,Fireball,2014-01-01,01:00,Quarta-feira,1,1
47908,Fayetteville,NC,Light,2014-01-01,01:00,Quarta-feira,1,1
47910,Albuquerque,NM,Circle,2014-01-01,01:00,Quarta-feira,1,1
47911,Mt. Pleasant,SC,Other,2014-01-01,01:00,Quarta-feira,1,1
47912,Boca Raton,FL,Circle,2014-01-01,01:00,Quarta-feira,1,1
47913,Reseda,CA,Circle,2014-01-01,00:53,Quarta-feira,1,1
47914,Kirtland,NM,Formation,2014-01-01,00:50,Quarta-feira,1,1
47915,Fort Worth,TX,Oval,2014-01-01,00:47,Quarta-feira,1,1
47916,Eastvale,CA,Fireball,2014-01-01,00:42,Quarta-feira,1,1
47918,Bradenton,FL,Fireball,2014-01-01,00:30,Quarta-feira,1,1
47919,Fairfax,VA,Flash,2014-01-01,00:30,Quarta-feira,1,1
47920,Ocala,FL,Light,2014-01-01,00:30,Quarta-feira,1,1
47921,Temecula,CA,Light,2014-01-01,00:30,Quarta-feira,1,1
47922,South El Monte,CA,Sphere,2014-01-01,00:30,Quarta-feira,1,1
47923,Spring Hill,FL,Circle,2014-01-01,00:25,Quarta-feira,1,1
47924,Goodyear,AZ,Sphere,2014-01-01,00:24,Quarta-feira,1,1
47925,Santa Clara,CA,Sphere,2014-01-01,00:20,Quarta-feira,1,1
47926,Roanoke,VA,Fireball,2014-01-01,00:20,Quarta-feira,1,1
47927,Hokes Bluff,AL,Circle,2014-01-01,00:20,Quarta-feira,1,1
47928,Lewes,DE,Light,2014-01-01,00:18,Quarta-feira,1,1
47929,Salem,OR,Circle,2014-01-01,00:15,Quarta-feira,1,1
47930,Spanish Fork,UT,Unknown,2014-01-01,00:15,Quarta-feira,1,1
47931,Wesley Chapel,FL,Fireball,2014-01-01,00:15,Quarta-feira,1,1
47932,Burbank,CA,Sphere,2014-01-01,00:15,Quarta-feira,1,1
47933,Greenfield,IN,Light,2014-01-01,00:15,Quarta-feira,1,1
47934,Corona,CA,Circle,2014-01-01,00:15,Quarta-feira,1,1
47935,Boise,ID,Light,2014-01-01,00:15,Quarta-feira,1,1
47936,Oakland Park,FL,Flash,2014-01-01,00:15,Quarta-feira,1,1
47937,Baldwin,NY,Fireball,2014-01-01,00:12,Quarta-feira,1,1
47938,Patterson,CA,Sphere,2014-01-01,00:12,Quarta-feira,1,1
47939,Wilmington,NC,Triangle,2014-01-01,00:10,Quarta-feira,1,1
47940,Modesto,CA,Circle,2014-01-01,00:10,Quarta-feira,1,1
47941,Charlottesville,VA,Light,2014-01-01,00:10,Quarta-feira,1,1
47942,Saint Albans,WV,Triangle,2014-01-01,00:10,Quarta-feira,1,1
47943,Livermore,CA,Light,2014-01-01,00:10,Quarta-feira,1,1
47944,Fairborn,OH,Light,2014-01-01,00:10,Quarta-feira,1,1
47945,Deltona,FL,Circle,2014-01-01,00:10,Quarta-feira,1,1
47946,Deltona,FL,Sphere,2014-01-01,00:07,Quarta-feira,1,1
47947,Jacksonville,FL,Circle,2014-01-01,00:06,Quarta-feira,1,1
47948,Austin,TX,Light,2014-01-01,00:05,Quarta-feira,1,1
47950,Elon,NC,Circle,2014-01-01,00:05,Quarta-feira,1,1
47951,Rohnert Park,CA,Sphere,2014-01-01,00:05,Quarta-feira,1,1
47952,Colorado Springs,CO,Formation,2014-01-01,00:05,Quarta-feira,1,1
47953,Spokane Valley,WA,Formation,2014-01-01,00:05,Quarta-feira,1,1
47954,Mt. Pleasant,SC,Circle,2014-01-01,00:05,Quarta-feira,1,1
47955,Goose Creek,SC,Light,2014-01-01,00:02,Quarta-feira,1,1
47956,El Paso,TX,Formation,2014-01-01,00:02,Quarta-feira,1,1
47957,Clarksville,TN,Sphere,2014-01-01,00:01,Quarta-feira,1,1
47958,Waxhaw,NC,Disk,2014-01-01,00:01,Quarta-feira,1,1
47959,Salem,OR,Light,2014-01-01,00:01,Quarta-feira,1,1
47960,Henderson,NV,Sphere,2014-01-01,00:01,Quarta-feira,1,1
47961,Trussville,AL,Light,2014-01-01,00:00,Quarta-feira,1,1
47962,Moreno Valley,CA,Light,2014-01-01,00:00,Quarta-feira,1,1
47963,Austin,TX,Circle,2014-01-01,00:00,Quarta-feira,1,1
47964,Brentwood,TN,Circle,2014-01-01,00:00,Quarta-feira,1,1
47965,Dallas,GA,Sphere,2014-01-01,00:00,Quarta-feira,1,1
47966,Springfield,OR,Circle,2014-01-01,00:00,Quarta-feira,1,1
47967,Kettering,OH,Circle,2014-01-01,00:00,Quarta-feira,1,1
47969,Lafayette,LA,Unknown,2014-01-01,00:00,Quarta-feira,1,1
47970,Bakersfield,CA,Light,2014-01-01,00:00,Quarta-feira,1,1
47971,Sacramento,CA,Unknown,2014-01-01,00:00,Quarta-feira,1,1
47972,Taos,NM,Circle,2014-01-01,00:00,Quarta-feira,1,1
47973,Milpitas,CA,Light,2014-01-01,00:00,Quarta-feira,1,1
47974,Sequim,WA,Other,2014-01-01,00:00,Quarta-feira,1,1
47975,Las Vegas,NV,Circle,2014-01-01,00:00,Quarta-feira,1,1
47976,Wenatchee,WA,Oval,2014-01-01,00:00,Quarta-feira,1,1
47977,Fort Wayne,IN,Triangle,2014-02-28,00:00,Sexta-feira,28,2
47978,Pittsburgh,PA,Light,2014-02-28,23:00,Sexta-feira,28,2
47979,Vancouver,WA,Light,2014-02-28,22:45,Sexta-feira,28,2
47980,Imperial,MO,Other,2014-02-28,22:30,Sexta-feira,28,2
47981,Gorham,ME,Triangle,2014-02-28,22:00,Sexta-feira,28,2
47982,Dover,FL,Unknown,2014-02-28,21:50,Sexta-feira,28,2
47984,Winslow Township,NJ,Fireball,2014-02-28,21:30,Sexta-feira,28,2
47985,Bentleyville (3-5 miles east of; on I-70),PA,Fireball,2014-02-28,21:00,Sexta-feira,28,2
47986,Evansville,IN,Circle,2014-02-28,20:35,Sexta-feira,28,2
47987,Davie,FL,Fireball,2014-02-28,20:24,Sexta-feira,28,2
47988,Salem,OR,Light,2014-02-28,19:00,Sexta-feira,28,2
47989,Schenectady,NY,Changing,2014-02-28,18:00,Sexta-feira,28,2
47990,Westfield,NJ,Disk,2014-02-28,17:56,Sexta-feira,28,2
47992,Ocean Shores,WA,Light,2014-02-28,09:35,Sexta-feira,28,2
47993,Rochester,NY,Light,2014-02-28,09:30,Sexta-feira,28,2
47994,Saco,ME,Fireball,2014-02-28,08:10,Sexta-feira,28,2
47995,Princeton,WV,Light,2014-02-28,05:20,Sexta-feira,28,2
47996,Wilmington,OH,Other,2014-02-28,03:30,Sexta-feira,28,2
47997,Claremore,OK,Light,2014-02-28,01:00,Sexta-feira,28,2
47998,Hixson,TN,Triangle,2014-02-27,22:55,Quinta-feira,27,2
48000,Chicago Heights,IL,Circle,2014-02-27,21:45,Quinta-feira,27,2
48001,Attica,NY,Circle,2014-02-27,21:33,Quinta-feira,27,2
48002,Montgomery/Millbrook,AL,Triangle,2014-02-27,21:00,Quinta-feira,27,2
48003,Springfield,MA,Circle,2014-02-27,20:30,Quinta-feira,27,2
48004,Glenelg,MD,Fireball,2014-02-27,20:00,Quinta-feira,27,2
48006,Butler,IN,Unknown,2014-02-27,19:30,Quinta-feira,27,2
48007,Boise,ID,Light,2014-02-27,19:21,Quinta-feira,27,2
48008,Albany,OH,Fireball,2014-02-27,19:00,Quinta-feira,27,2
48009,Murfreesboro,TN,Light,2014-02-27,18:00,Quinta-feira,27,2
48011,Nashville,TN,Light,2014-02-27,16:35,Quinta-feira,27,2
48013,Albert Lea,MN,Light,2014-02-27,06:02,Quinta-feira,27,2
48014,Stedman,NC,Sphere,2014-02-27,06:00,Quinta-feira,27,2
48015,Churchton,MD,Circle,2014-02-27,03:35,Quinta-feira,27,2
48016,Scott Depot,WV,Unknown,2014-02-27,03:05,Quinta-feira,27,2
48018,Monument,CO,Sphere,2014-02-27,01:00,Quinta-feira,27,2
48019,Benton,MO,Circle,2014-02-27,00:00,Quinta-feira,27,2
