,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
173,New York City (Brooklyn),NY,Other,1998-07-15,14:00,Quarta-feira,15,7
174,Columbus,OH,Other,1998-07-15,08:00,Quarta-feira,15,7
175,Albuquerque,NM,Fireball,1998-07-15,01:30,Quarta-feira,15,7
176,Minneapolis,MN,Disk,1998-07-15,01:00,Quarta-feira,15,7
177,Shanadoah,IA,Triangle,1998-07-14,23:00,Terça-feira,14,7
178,McCook Lake,SD,Unknown,1998-07-13,00:00,Segunda-feira,13,7
179,Arnold,MO,Light,1998-07-10,17:30,Sexta-feira,10,7
180,New Rochelle,NY,Cigar,1998-07-10,15:00,Sexta-feira,10,7
181,West Bloomfield,MI,Other,1998-07-08,23:00,Quarta-feira,8,7
182,Hull,GA,Oval,1998-07-07,22:00,Terça-feira,7,7
183,Camdenton,MO,Other,1998-07-07,01:00,Terça-feira,7,7
184,Manasota Key,FL,Formation,1998-07-05,02:00,Domingo,5,7
185,Akron,OH,Other,1998-07-04,22:00,Sábado,4,7
186,Lockwood,CA,Cigar,1998-07-01,22:00,Quarta-feira,1,7
187,Rapid City,MI,Sphere,1998-07-01,02:00,Quarta-feira,1,7
189,Roseville,CA,Circle,1998-07-01,00:00,Quarta-feira,1,7
190,West Islip,NY,Other,1998-08-28,19:00,Sexta-feira,28,8
191,Mobile,AL,Light,1998-08-28,05:45,Sexta-feira,28,8
192,Pebble Beach,CA,Unknown,1998-08-25,02:00,Terça-feira,25,8
193,Santa Rosa,CA,Disk,1998-08-23,11:45,Domingo,23,8
194,East Hartford,CT,Unknown,1998-08-23,05:00,Domingo,23,8
196,Shawnee Mission,KS,Unknown,1998-08-20,22:00,Quinta-feira,20,8
198,Crestline (Silverwood Lake),CA,Triangle,1998-08-15,23:30,Sábado,15,8
199,Annapolis,MD,Triangle,1998-08-15,23:00,Sábado,15,8
200,Tracy (near; on I-5; close to Gilroy),CA,Circle,1998-08-15,17:00,Sábado,15,8
201,Perryville,MO,Fireball,1998-08-15,11:00,Sábado,15,8
202,Highlands Ranch,CO,Flash,1998-08-15,01:00,Sábado,15,8
204,Burlington,ND,Fireball,1998-08-14,16:00,Sexta-feira,14,8
205,Hampton,NH,Circle,1998-08-13,03:00,Quinta-feira,13,8
206,Lake Alpine,CA,Sphere,1998-08-13,02:00,Quinta-feira,13,8
207,Harrisburg,PA,Triangle,1998-08-10,22:00,Segunda-feira,10,8
208,Modesto,CA,Triangle,1998-08-10,22:00,Segunda-feira,10,8
209,North Charleston,SC,Unknown,1998-08-08,00:00,Sábado,8,8
210,Casa Grande,AZ,Triangle,1998-08-07,00:00,Sexta-feira,7,8
211,Casa Grande,AZ,Triangle,1998-08-07,00:00,Sexta-feira,7,8
212,Mumford,NY,Circle,1998-08-05,21:00,Quarta-feira,5,8
214,Midland,SD,Unknown,1998-08-03,00:30,Segunda-feira,3,8
215,Pierre,SD,Unknown,1998-08-01,23:00,Sábado,1,8
216,Monhegan Island,ME,Unknown,1998-08-01,23:00,Sábado,1,8
217,Chicago,IL,Light,1998-08-01,03:00,Sábado,1,8
218,Binghamton,NY,Sphere,1998-08-01,00:00,Sábado,1,8
220,Dearborn,MI,Other,1998-09-21,21:00,Segunda-feira,21,9
222,Tukwila,WA,Sphere,1998-09-20,14:00,Domingo,20,9
223,Fort Bragg,NC,Triangle,1998-09-20,01:15,Domingo,20,9
225,Belen,NM,Light,1998-09-15,23:00,Terça-feira,15,9
