,City,Shape,Quantidade
3542,Kettleman City/Coalinga (between),Triangle,1.0
3556,Van Nuys,Triangle,19.0
3562,La Jolla,Formation,15.0
3591,Woodland Hills,Formation,15.0
3596,Sacramento,Cigar,175.0
3597,Yosemite National Park,Light,3.0
3605,Sonoma,Fireball,23.0
3609,Indio,Fireball,24.0
3619,Los Angeles,Circle,249.0
3623,Los Angeles,Circle,249.0
3629,Maywood,Unknown,6.0
3632,Los Angeles,Triangle,249.0
3637,Redwood City,Circle,12.0
3639,Imperial Beach,Changing,8.0
3656,San Pedro,Triangle,20.0
3668,Fullerton,Sphere,25.0
3669,Los Angels,Triangle,1.0
3675,Dublin,Unknown,9.0
3676,San Dimas,Light,10.0
3679,I-5 (California,Triangle,1.0
3680,San Jacinto,Unknown,15.0
3688,Watts,Light,1.0
3695,Martinez,Other,15.0
3712,Los Angeles,Cigar,249.0
3713,Anza Borrego,Light,1.0
3715,Laguna Beach,Circle,15.0
3716,Simi Valley,Circle,34.0
3723,Pittsburg,Disk,12.0
3731,Corona,Light,53.0
3737,El Cajon,Unknown,49.0
3738,El Cajon,Unknown,49.0
3739,Rancho San Diego,Light,1.0
3746,South Lake Tahoe,Triangle,10.0
3749,Paramount,Sphere,8.0
3758,Northridge,Changing,8.0
3762,"Chula Vista campground parking lot, Mt. Pinos",Light,1.0
3767,Fairfield,Light,31.0
3773,Valley Springs,Disk,5.0
3774,Tehachapie (outside of),Disk,1.0
3778,Mount Shasta,Triangle,8.0
3786,Alturas,Light,1.0
3799,Grass Valley,Diamond,19.0
3806,Redwood City,Circle,12.0
3812,South Gate,Other,12.0
3818,Los Angeles (Glassel Park),Fireball,1.0
3820,Redwood City,Changing,12.0
3823,Burbank,Sphere,48.0
3828,Apple Valley (Panoche Road),Unknown,1.0
3836,San Jose,Other,159.0
3851,Chatsworth,Sphere,8.0
3858,Fairfield,Cone,31.0
3860,Hollywood,Oval,15.0
3862,Chatsworth,Triangle,8.0
3883,Lake Forest,Oval,11.0
3885,Lancaster,Sphere,28.0
3899,Twin Lakes,Circle,1.0
3900,Bridgeport,Circle,3.0
3901,San Diego,Oval,269.0
3903,Tijuana (Mexico),Cigar,1.0
3904,Redding,Circle,45.0
3914,Bishop (closest town),Light,1.0
3916,Redlands,Circle,20.0
3920,Desolation Wilderness,Triangle,2.0
3926,Los Angeles,Circle,249.0
3940,Simi Valley,Rectangle,34.0
3947,Coloma,Fireball,2.0
3954,El Cajon,Light,49.0
3964,Yorba Linda,Disk,12.0
3971,Campbell,Chevron,16.0
3976,San Jose,Changing,159.0
3992,Escondido,Light,55.0
4005,Granada Hills/Mission Hills,Disk,1.0
4010,Eureka,Sphere,19.0
4024,Redding,Egg,45.0
4025,Menifee,Light,20.0
4048,Sacramento,Cigar,175.0
4064,Bridgeville,Triangle,2.0
4067,Sacramento (east of),,2.0
4076,Sacramento (east of),,2.0
4087,San Diego,Light,269.0
4093,Chatsworth,Triangle,8.0
4100,Fremont,Disk,27.0
4106,Garden Valley,Formation,1.0
4119,Lake Forest,Disk,11.0
4128,Auburn,Circle,14.0
4137,Reseda,Rectangle,11.0
4156,Palm Springs,Cylinder,36.0
4160,San Francisco,Egg,122.0
4162,Fresno,Triangle,96.0
4174,South Pasadena,Fireball,2.0
4178,Yosemite Valley,Light,1.0
4193,Lodi,Triangle,15.0
4200,Laguna Hills,Unknown,14.0
4217,Long Beach,Light,91.0
4249,Torrance,Oval,33.0
4252,Sherman Oaks,Circle,22.0
4255,San Jacinto,Triangle,15.0
4269,Vista,Unknown,21.0
4281,Yreka,Light,4.0
4283,Lancster,Light,1.0
4290,West Los Angeles,Light,7.0
4292,Mount Shasta,Light,8.0
4295,Quail Valley,Triangle,3.0
4300,New York City (Manhattan),Unknown,1.0
4304,Madera,Disk,18.0
4315,San Clemente,Changing,24.0
4344,Los Angeles,Chevron,249.0
4345,San Francisco,Light,122.0
4351,San Diego,Sphere,269.0
4352,Chula Vista,Other,26.0
4354,San Francisco,Light,122.0
4358,Oakland,Disk,49.0
4367,Los Alamos,Changing,3.0
4369,Monterey,Rectangle,24.0
4370,Napa,Fireball,27.0
4373,Moreno Valley,Circle,25.0
4378,Davis,Light,23.0
4400,Redlands,Triangle,20.0
4404,Escondido,Triangle,55.0
4410,Landers,Circle,7.0
4424,Lake Elsinore,Fireball,23.0
4425,Livermore,Fireball,18.0
4429,Claremont,Oval,10.0
4430,Lake Elsinore,Sphere,23.0
4437,Cupertino,Cylinder,5.0
4452,Harbor City,Cylinder,4.0
4462,Oakley,Other,16.0
4463,Reggae on the River,Light,1.0
4465,San Jose,Light,159.0
4466,Ontario,Light,11.0
4469,El Cajon,Formation,49.0
4471,Mar Vista (West Los Angeles),Light,1.0
4479,San Diego,Cylinder,269.0
4493,North Hollywood/Burbank,Fireball,1.0
4503,Orange,Light,30.0
4505,San Leandro,Disk,14.0
4511,Santa Monica,Sphere,22.0
4523,Desolation Wilderness,,2.0
4549,Valencia,Triangle,8.0
4571,Cameron Park,Disk,3.0
4573,Culver City,Circle,11.0
4578,Oxnard,Circle,40.0
4580,Boonville,Formation,2.0
4584,Buena Park,Formation,14.0
4589,Los Angeles,Changing,249.0
4607,Strawberry,Triangle,1.0
4614,Forestville,Formation,2.0
4615,Forestville,Formation,2.0
4617,Imperial Beach,Unknown,8.0
4635,San Jose,Circle,159.0
4636,Ukiah,Triangle,14.0
4651,Los Angeles,Sphere,249.0
4653,Lodi,Other,15.0
4663,Salinas,Circle,23.0
4681,Foster City,Light,4.0
4693,Simi Valley,Light,34.0
4695,Santa Maria,Teardrop,20.0
4698,Mission Viejo,Other,24.0
4701,San Francisco,Other,122.0
4704,San Jose,Light,159.0
4737,San Diego,Fireball,269.0
4751,La Mesa,Light,19.0
4753,Vandenberg Village,Disk,2.0
4754,Gonzales,Changing,2.0
4768,La Crescenta,Circle,5.0
4773,Monterey Park,Fireball,4.0
4790,San Francisco,Triangle,122.0
4793,Cathedral City,Light,15.0
4794,Arbuckle,Fireball,3.0
4806,San Jose,,159.0
4807,Sebastopol,Light,11.0
4810,San Diego,Cigar,269.0
4842,Sacramento,Light,175.0
4845,San Diego,Sphere,269.0
4848,Lancaster,Disk,28.0
4850,Sacramento,Unknown,175.0
4855,Orange,Other,30.0
4857,Lakewood,Fireball,15.0
4866,Oceanside,Unknown,32.0
4872,Huntington Beach,Changing,63.0
4873,Huntington Beach,Light,63.0
4914,Roseville,Sphere,38.0
4937,Montebello,Other,9.0
4945,Sacramento,Triangle,175.0
4954,Hollister,Circle,22.0
4955,Hollister,Circle,22.0
4966,Orinda,Disk,3.0
4967,Hollister,Other,22.0
4970,Anaheim,Cigar,60.0
5031,Long Beach,Circle,91.0
5046,El Centro,Circle,14.0
5049,San Bernadino Mtns. (Twin Peaks),Triangle,1.0
5081,Moss Landing,Oval,1.0
5091,Santa Clarita,Light,17.0
5108,Tustin,Changing,12.0
5118,Huntington Beach,Circle,63.0
5125,Long Beach,Formation,91.0
5126,Riverside,Fireball,67.0
5127,San Diego,Light,269.0
5130,Los Angeles,Unknown,249.0
5133,Van Nuys,Circle,19.0
5146,Westminster,Cigar,15.0
5150,Los Angeles,Fireball,249.0
5153,Ducor,Triangle,1.0
5156,Big Oak Valley,Circle,1.0
5163,Pittsburg,Cigar,12.0
5175,Vista,Unknown,21.0
5177,Tarzana,Sphere,6.0
5188,Burbank,Changing,48.0
5204,Long Beach,Triangle,91.0
5210,Escondido,Light,55.0
5211,Long Beach,Fireball,91.0
5213,Hayward,Circle,26.0
5215,Long Beach,Fireball,91.0
5223,Irvine,Diamond,53.0
5224,La Quinta,Circle,6.0
5225,Redwood City,Light,12.0
5233,Buena Park,Changing,14.0
5249,Atwater,Other,9.0
5256,Canyon Country,Other,7.0
5265,Moreno Valley,Circle,25.0
5267,Monterey,Sphere,24.0
5268,San Diego,Light,269.0
5271,Red Bluff,Triangle,8.0
5272,Westminster,Unknown,15.0
5277,Goleta,Other,16.0
